Class,Solution treatment time (h),Solution treatment temperature (¡æ),Solution cooling way,Aging treatment time (h),Aging treatment temperature (¡æ),Aging cooling way,2nd aging treatment time (h),2nd aging treatment temperature (¡æ),2nd aging cooling way,C (mass%),Si (mass%),Mn (mass%),P (mass%),S (mass%),Ni (mass%),Cr (mass%),Mo (mass%),Cu (mass%),W (mass%),Co (mass%),Al (mass%),N (mass%),Nb+Ta (mass%),B (mass%),V (mass%),Ti (mass%),Fe (mass%),Zr (mass%),Re (mass%),Y (mass%),Hf (mass%),Test temperature (¡æ),Test stress (MPa),Creep rupture life (h)
439,4,1079,1,24,843,1,16,760,1,0.06,0.01,0.02,0.001,0.003,54.8931,16.86,3.78,0.01,0,18.2,2.66,0.0059,0,0.007,0,2.76,0.73,0,0,0,0,900,157,67.89999996
440,4,1079,1,24,843,1,16,760,1,0.06,0.01,0.02,0.001,0.003,54.8931,16.86,3.78,0.01,0,18.2,2.66,0.0059,0,0.007,0,2.76,0.73,0,0,0,0,900,98,786.4000003
441,4,1079,1,24,843,1,16,760,1,0.06,0.01,0.02,0.001,0.003,54.8931,16.86,3.78,0.01,0,18.2,2.66,0.0059,0,0.007,0,2.76,0.73,0,0,0,0,1000,98,2.500000002
442,4,1079,1,24,843,1,16,760,1,0.06,0.01,0.02,0.001,0.003,54.8931,16.86,3.78,0.01,0,18.2,2.66,0.0059,0,0.007,0,2.76,0.73,0,0,0,0,1000,78,7.100000005
443,4,1079,1,24,843,1,16,760,1,0.06,0.01,0.02,0.001,0.003,54.8931,16.86,3.78,0.01,0,18.2,2.66,0.0059,0,0.007,0,2.76,0.73,0,0,0,0,1000,53,65.29999996
444,4,1079,1,24,843,1,16,760,1,0.06,0.01,0.02,0.001,0.003,54.8931,16.86,3.78,0.01,0,18.2,2.66,0.0059,0,0.007,0,2.76,0.73,0,0,0,0,1000,41,82.99999993
445,4,1079,1,24,843,1,16,760,1,0.08,0.02,0.002,0.002,0.009,49.7129,19.25,4.12,0.001,0,18.8,2.81,0.0066,0,0.0065,0,2.86,2.32,0,0,0,0,899,173,133.6
446,4,1079,1,24,843,1,16,760,1,0.08,0.02,0.002,0.002,0.009,49.7129,19.25,4.12,0.001,0,18.8,2.81,0.0066,0,0.0065,0,2.86,2.32,0,0,0,0,700,373,9969.200004
447,4,1079,1,24,843,1,16,760,1,0.08,0.02,0.002,0.002,0.009,49.7129,19.25,4.12,0.001,0,18.8,2.81,0.0066,0,0.0065,0,2.86,2.32,0,0,0,0,700,333,20754.3
448,4,1079,1,24,843,1,16,760,1,0.08,0.02,0.002,0.002,0.009,49.7129,19.25,4.12,0.001,0,18.8,2.81,0.0066,0,0.0065,0,2.86,2.32,0,0,0,0,700,294,40274.39999
449,4,1079,1,24,843,1,16,760,1,0.08,0.02,0.002,0.002,0.009,49.7129,19.25,4.12,0.001,0,18.8,2.81,0.0066,0,0.0065,0,2.86,2.32,0,0,0,0,800,333,238.7999997
450,4,1079,1,24,843,1,16,760,1,0.08,0.02,0.002,0.002,0.009,49.7129,19.25,4.12,0.001,0,18.8,2.81,0.0066,0,0.0065,0,2.86,2.32,0,0,0,0,800,235,3082.599999
451,4,1079,1,24,843,1,16,760,1,0.08,0.02,0.002,0.002,0.009,49.7129,19.25,4.12,0.001,0,18.8,2.81,0.0066,0,0.0065,0,2.86,2.32,0,0,0,0,800,157,16333
452,4,1079,1,24,843,1,16,760,1,0.08,0.02,0.002,0.002,0.009,49.7129,19.25,4.12,0.001,0,18.8,2.81,0.0066,0,0.0065,0,2.86,2.32,0,0,0,0,800,137,29085.30002
453,4,1079,1,24,843,1,16,760,1,0.08,0.02,0.002,0.002,0.009,49.7129,19.25,4.12,0.001,0,18.8,2.81,0.0066,0,0.0065,0,2.86,2.32,0,0,0,0,900,235,18
454,4,1079,1,24,843,1,16,760,1,0.08,0.02,0.002,0.002,0.009,49.7129,19.25,4.12,0.001,0,18.8,2.81,0.0066,0,0.0065,0,2.86,2.32,0,0,0,0,900,157,155.7999999
455,4,1079,1,24,843,1,16,760,1,0.08,0.02,0.002,0.002,0.009,49.7129,19.25,4.12,0.001,0,18.8,2.81,0.0066,0,0.0065,0,2.86,2.32,0,0,0,0,900,98,2776.699998
456,4,1079,1,24,843,1,16,760,1,0.08,0.02,0.002,0.002,0.009,49.7129,19.25,4.12,0.001,0,18.8,2.81,0.0066,0,0.0065,0,2.86,2.32,0,0,0,0,900,69,3904
457,4,1079,1,24,843,1,16,760,1,0.08,0.02,0.002,0.002,0.009,49.7129,19.25,4.12,0.001,0,18.8,2.81,0.0066,0,0.0065,0,2.86,2.32,0,0,0,0,1000,98,12.5
458,4,1079,1,24,843,1,16,760,1,0.08,0.02,0.002,0.002,0.009,49.7129,19.25,4.12,0.001,0,18.8,2.81,0.0066,0,0.0065,0,2.86,2.32,0,0,0,0,1000,53,182.5999999
459,4,1079,1,24,843,1,16,760,1,0.08,0.02,0.002,0.002,0.009,49.7129,19.25,4.12,0.001,0,18.8,2.81,0.0066,0,0.0065,0,2.86,2.32,0,0,0,0,1000,41,441.6999997
460,4,1079,1,24,843,1,16,760,1,0.08,0.02,0.002,0.002,0.009,49.7129,19.25,4.12,0.001,0,18.8,2.81,0.0066,0,0.0065,0,2.86,2.32,0,0,0,0,1000,29,1243.900001
461,2,1176,4,24,843,4,0,0,0,0.1,0.03,0.01,0.002,0.002,61.6153,15.81,1.76,0.01,2.61,8.3,3.46,0.0007,2.69,0.01,0,3.47,0.08,0.04,0,0,0,750,600,107.0000001
462,2,1176,4,24,843,4,0,0,0,0.1,0.03,0.01,0.002,0.002,61.6153,15.81,1.76,0.01,2.61,8.3,3.46,0.0007,2.69,0.01,0,3.47,0.08,0.04,0,0,0,750,550,254.8000002
463,2,1176,4,24,843,4,0,0,0,0.1,0.03,0.01,0.002,0.002,61.6153,15.81,1.76,0.01,2.61,8.3,3.46,0.0007,2.69,0.01,0,3.47,0.08,0.04,0,0,0,750,500,564.6000002
464,2,1176,4,24,843,4,0,0,0,0.1,0.03,0.01,0.002,0.002,61.6153,15.81,1.76,0.01,2.61,8.3,3.46,0.0007,2.69,0.01,0,3.47,0.08,0.04,0,0,0,750,400,3208.8
465,2,1176,4,24,843,4,0,0,0,0.1,0.03,0.01,0.002,0.002,61.6153,15.81,1.76,0.01,2.61,8.3,3.46,0.0007,2.69,0.01,0,3.47,0.08,0.04,0,0,0,750,350,10087
466,2,1176,4,24,843,4,0,0,0,0.1,0.03,0.01,0.002,0.002,61.6153,15.81,1.76,0.01,2.61,8.3,3.46,0.0007,2.69,0.01,0,3.47,0.08,0.04,0,0,0,800,500,45.3
467,2,1176,4,24,843,4,0,0,0,0.1,0.03,0.01,0.002,0.002,61.6153,15.81,1.76,0.01,2.61,8.3,3.46,0.0007,2.69,0.01,0,3.47,0.08,0.04,0,0,0,800,400,297.2999999
468,2,1176,4,24,843,4,0,0,0,0.1,0.03,0.01,0.002,0.002,61.6153,15.81,1.76,0.01,2.61,8.3,3.46,0.0007,2.69,0.01,0,3.47,0.08,0.04,0,0,0,800,350,836.1999996
469,2,1176,4,24,843,4,0,0,0,0.1,0.03,0.01,0.002,0.002,61.6153,15.81,1.76,0.01,2.61,8.3,3.46,0.0007,2.69,0.01,0,3.47,0.08,0.04,0,0,0,800,250,9775.600006
470,2,1176,4,24,843,4,0,0,0,0.1,0.03,0.01,0.002,0.002,61.6153,15.81,1.76,0.01,2.61,8.3,3.46,0.0007,2.69,0.01,0,3.47,0.08,0.04,0,0,0,800,200,32754.00002
471,2,1176,4,24,843,4,0,0,0,0.1,0.03,0.01,0.002,0.002,61.6153,15.81,1.76,0.01,2.61,8.3,3.46,0.0007,2.69,0.01,0,3.47,0.08,0.04,0,0,0,850,400,28.90000002
472,2,1176,4,24,843,4,0,0,0,0.1,0.03,0.01,0.002,0.002,61.6153,15.81,1.76,0.01,2.61,8.3,3.46,0.0007,2.69,0.01,0,3.47,0.08,0.04,0,0,0,850,300,305.1999998
473,2,1176,4,24,843,4,0,0,0,0.1,0.03,0.01,0.002,0.002,61.6153,15.81,1.76,0.01,2.61,8.3,3.46,0.0007,2.69,0.01,0,3.47,0.08,0.04,0,0,0,850,150,17506.60001
474,2,1176,4,24,843,4,0,0,0,0.1,0.03,0.01,0.002,0.002,61.6153,15.81,1.76,0.01,2.61,8.3,3.46,0.0007,2.69,0.01,0,3.47,0.08,0.04,0,0,0,850,100,96192.29999
475,2,1176,4,24,843,4,0,0,0,0.1,0.03,0.01,0.002,0.002,61.6153,15.81,1.76,0.01,2.61,8.3,3.46,0.0007,2.69,0.01,0,3.47,0.08,0.04,0,0,0,900,300,22.10000002
476,2,1176,4,24,843,4,0,0,0,0.1,0.03,0.01,0.002,0.002,61.6153,15.81,1.76,0.01,2.61,8.3,3.46,0.0007,2.69,0.01,0,3.47,0.08,0.04,0,0,0,900,250,82.70000009
477,2,1176,4,24,843,4,0,0,0,0.1,0.03,0.01,0.002,0.002,61.6153,15.81,1.76,0.01,2.61,8.3,3.46,0.0007,2.69,0.01,0,3.47,0.08,0.04,0,0,0,900,200,471.0999997
478,2,1176,4,24,843,4,0,0,0,0.1,0.03,0.01,0.002,0.002,61.6153,15.81,1.76,0.01,2.61,8.3,3.46,0.0007,2.69,0.01,0,3.47,0.08,0.04,0,0,0,900,150,1820.400001
479,2,1176,4,24,843,4,0,0,0,0.1,0.03,0.01,0.002,0.002,61.6153,15.81,1.76,0.01,2.61,8.3,3.46,0.0007,2.69,0.01,0,3.47,0.08,0.04,0,0,0,900,100,12667.59999
480,4,1204,0,4,1080,0,32,870,0,0.1,0,0,0,0,59.885,9,0,0,12,10,5,0,0,0.015,0,2,0,0,0,0,2,1093,138,30.00000002
481,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,65.146,8,3.65,0,0,7.5,5.9,0,5,0.004,0,1.5,0,0,3.1,0,0.15,1148,90,30.00000002
482,2,1307,0,4,1080,0,16,898,0,0.004,0,0,0,0,67.281,7,1.5,0,3,5,6,0,6,0.05,0,1,0,0,3,0.015,0.15,1093,138,30.2
483,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,64.2945,8,1.5,0,3,7.5,6.5,0,6,0.004,0,0,0,0,3,0.0015,0.15,1093,138,31.60000003
484,4,1285,0,4,1080,0,32,870,0,0,0,0,0,0,62.5,10,0,0,4,5,5,0,12,0,0,1.5,0,0,0,0,0,982,248.4,33.00000001
485,2,1307,0,4,1080,0,16,898,0,0.004,0,0,0,0,67.281,7,1.5,0,3,5,6,0,6,0.05,0,1,0,0,3,0.015,0.15,871,552,35.09999996
486,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,63.896,8,0,0,2,7.5,6.4,0,6,0.004,0,0,0,0,6,0,0.15,1093,138,35.4
487,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,64.2945,8,1.5,0,3,7.5,6.5,0,6,0.004,0,0,0,0,3,0.0015,0.15,1148,90,39.2
488,4,1285,0,4,1080,0,32,870,0,0,0,0,0,0,62.5,10,0,0,4,5,5,0,12,0,0,1.5,0,0,0,0,0,871,517.5,39.99999997
489,2,1307,0,4,1080,0,16,898,0,0.004,0,0,0,0,64.896,5,0.5,0,3,7.5,6.5,0,8,0.05,0,1,0,0,3,0.05,0.5,1093,138,42.29999996
490,2,1307,0,4,1080,0,16,898,0,0.004,0,0,0,0,62.281,7,1.5,0,3,10,6,0,6,0.05,0,1,0,0,3,0.015,0.15,1093,138,42.8
491,2,1307,0,4,1080,0,16,898,0,0.004,0,0,0,0,64.046,6,1.5,0,5,7.5,6.2,0,6.5,0.05,0,0,0,0,3,0.05,0.15,1093,138,43.09999998
492,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,74.781,7,1.5,0,4,0,7.5,0,2,0.004,0,0,0,0,3,0.015,0.15,871,552,43.5
493,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,60.996,8,3,0,0,7.5,5.8,0,5,0.004,0,5,0,0,4.5,0,0.15,982,276,43.80000005
494,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,64.396,8,3,0,0,7.5,6.4,0,6,0.004,0,0,0,0,4.5,0,0.15,1093,138,44.09999995
495,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,62.646,8,0.5,0,5.9,7.5,5.75,0,5,0.004,0,1.5,0,0,3,0,0.15,982,276,44.5
496,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,62.646,8,0.5,0,5.9,7.5,5.75,0,5,0.004,0,1.5,0,0,3,0,0.15,1093,138,45.50000004
497,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,63.396,8,0,0,4,7.5,6.4,0,6,0.004,0,0,0,0,4.5,0,0.15,1093,138,46.00000003
498,2,1307,0,4,1080,0,16,898,0,0.004,0,0,0,0,65.081,5,1.5,0,5,7.5,6.2,0,6.5,0.05,0,0,0,0,3,0.015,0.15,1148,90,46.3
499,2,1307,0,4,1080,0,16,898,0,0.004,0,0,0,0,62.281,7,1.5,0,3,10,6,0,6,0.05,0,1,0,0,3,0.015,0.15,1148,90,47.09999999
500,2,1307,0,4,1080,0,16,898,0,0.004,0,0,0,0,64.781,5,1.5,0,3,7.5,6.5,0,8,0.05,0,0.5,0,0,3,0.015,0.15,1093,138,47.60000003
501,2,1307,0,4,1080,0,16,898,0,0.004,0,0,0,0,65.081,5,1.5,0,5,7.5,6.2,0,6.5,0.05,0,0,0,0,3,0.015,0.15,982,276,48.69999998
502,2,1307,0,4,1080,0,16,898,0,0.004,0,0,0,0,67.281,7,1.5,0,3,5,6,0,6,0.05,0,1,0,0,3,0.015,0.15,982,276,49.09999999
503,2,1265,0,4,1079,0,16,899,0,0.05,0,0,0,0,62.6957,9.7,1.5,0,6,7.5,4.2,0,4.7,0.0043,0,3.5,0,0,0,0,0.15,982,179.4,49.99999996
504,2,1307,0,4,1080,0,16,898,0,0.004,0,0,0,0,64.781,7,1.5,0,3,7.5,6,0,6,0.05,0,1,0,0,3,0.015,0.15,982,276,51.4
505,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,71.946,7,2.5,0,4,0,5.8,0,5,0.004,0,1.5,0,0,2,0.05,0.15,982,276,51.60000004
506,4,1204,0,4,1080,0,32,870,0,0.1,0,0,0,0,59.885,9,0,0,12,10,5,0,0,0.015,0,2,0,0,0,0,2,1093,124.2,52.00000004
507,2,1307,0,4,1080,0,16,898,0,0.004,0,0,0,0,64.781,7,1.5,0,3,7.5,6,0,6,0.05,0,1,0,0,3,0.015,0.15,1148,90,52.2
508,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,64.046,8,0,0,2,7.5,5.75,0,5,0.004,0,1.5,0,0,6,0,0.15,1093,138,52.4
509,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,64.2945,8,1.5,0,3,7.5,6.5,0,6,0.004,0,0,0,0,3,0.0015,0.15,982,276,53.5
510,2,1307,0,4,1080,0,16,898,0,0.004,0,0,0,0,67.281,7,1.5,0,3,5,6,0,6,0.05,0,1,0,0,3,0.015,0.15,1148,90,53.5
511,2,1307,0,4,1080,0,16,898,0,0.004,0,0,0,0,64.781,7,1.5,0,3,7.5,6,0,6,0.05,0,1,0,0,3,0.015,0.15,871,552,53.80000004
512,2,1265,0,4,1079,0,16,899,0,0.05,0,0,0,0,62.9524,9.6,1.5,0,6,7.4,4.2,0,4.7,0.0076,0,3.4,0,0,0,0,0.19,871,379.5,54.09999999
513,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,64.046,8,0,0,2,7.5,5.75,0,5,0.004,0,1.5,0,0,6,0,0.15,871,552,54.20000006
514,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,65.146,8,3.65,0,0,7.5,5.9,0,5,0.004,0,1.5,0,0,3.1,0,0.15,1093,138,55.20000003
515,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,74.781,7,1.5,0,4,0,7.5,0,2,0.004,0,0,0,0,3,0.015,0.15,982,276,55.29999996
516,2,1307,0,4,1080,0,16,898,0,0.004,0,0,0,0,64.896,5,0.5,0,3,7.5,6.5,0,8,0.05,0,1,0,0,3,0.05,0.5,982,276,55.49999998
517,2,1307,0,4,1080,0,16,898,0,0.004,0,0,0,0,64.896,5,0.5,0,3,7.5,6.5,0,8,0.05,0,1,0,0,3,0.05,0.5,1148,90,55.49999998
518,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,64.2945,8,1.5,0,3,7.5,6.5,0,6,0.004,0,0,0,0,3,0.0015,0.15,871,552,55.60000005
519,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,65.146,8,3.65,0,0,7.5,5.9,0,5,0.004,0,1.5,0,0,3.1,0,0.15,871,552,56.30000002
520,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,65.146,8,3.65,0,0,7.5,5.9,0,5,0.004,0,1.5,0,0,3.1,0,0.15,982,276,56.30000002
521,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,60.996,8,3,0,0,7.5,5.8,0,5,0.004,0,5,0,0,4.5,0,0.15,1093,138,57.39999995
522,2,1307,0,4,1080,0,16,898,0,0.004,0,0,0,0,62.281,7,1.5,0,3,10,6,0,6,0.05,0,1,0,0,3,0.015,0.15,871,552,57.90000004
523,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,60.981,7,1.5,0,7,10,5.8,0,5,0.004,0,1.5,0,0,1,0.015,0.15,982,276,58.49999999
524,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,60.981,7,1.5,0,5,10,5.8,0,5,0.004,0,1.5,0,0,3,0.015,0.15,871,552,59.8
525,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,63.796,8,1.5,0,3,7.5,6,0,6,0.004,0,1,0,0,3,0,0.15,982,276,60.1
526,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,63.896,8,0,0,2,7.5,6.4,0,6,0.004,0,0,0,0,6,0,0.15,871,552,62.20000004
527,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,63.131,8,0,0,5.9,7.5,5.75,0,5,0.004,0,1.5,0,0,3,0.015,0.15,982,276,63.09999996
528,2,1307,0,4,1080,0,16,898,0,0.004,0,0,0,0,62.281,7,1.5,0,3,10,6,0,6,0.05,0,1,0,0,3,0.015,0.15,982,276,63.69999995
529,2,1307,0,4,1080,0,16,898,0,0.004,0,0,0,0,64.046,6,1.5,0,5,7.5,6.2,0,6.5,0.05,0,0,0,0,3,0.05,0.15,871,552,64.19999999
530,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,63.896,8,0,0,2,7.5,6.4,0,6,0.004,0,0,0,0,6,0,0.15,982,276,64.70000005
531,2,1307,0,4,1080,0,16,898,0,0.004,0,0,0,0,65.281,5,1.5,0,3,7.5,6.5,0,7.5,0.05,0,0.5,0,0,3,0.015,0.15,1093,138,64.80000002
532,2,1307,0,4,1080,0,16,898,0,0.004,0,0,0,0,65.281,5,1.5,0,3,7.5,6.5,0,7.5,0.05,0,0.5,0,0,3,0.015,0.15,982,276,65.39999995
533,2,1265,0,4,1079,0,16,899,0,0.05,0,0,0,0,62.447,9.7,1.5,0,6.1,7.5,4.2,0,4.8,0.003,0,3.5,0,0,0,0,0.2,982,179.4,65.59999994
534,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,63.796,8,1.5,0,3,7.5,6,0,6,0.004,0,1,0,0,3,0,0.15,1148,90,66.39999994
535,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,63.546,8,0,0,4,7.5,5.75,0,5,0.004,0,1.5,0,0,4.5,0,0.15,871,552,66.70000001
536,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,63.546,8,0,0,4,7.5,5.75,0,5,0.004,0,1.5,0,0,4.5,0,0.15,982,276,67.09999997
537,2,1307,0,4,1080,0,16,898,0,0.004,0,0,0,0,65.281,5,1.5,0,3,7.5,6.5,0,7,0.05,0,0.5,0,0,3.5,0.015,0.15,1093,138,68.00000005
538,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,63.496,8,1.5,0,4,7.5,5.8,0,5,0.004,0,1.5,0,0,3,0,0.15,982,276,68.49999992
539,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,60.981,7,1.5,0,6,10,5.8,0,5,0.004,0,1.5,0,0,2,0.015,0.15,982,276,68.90000001
540,2,1265,0,4,1079,0,16,899,0,0.05,0,0,0,0,62.447,9.7,1.5,0,6.1,7.5,4.2,0,4.8,0.003,0,3.5,0,0,0,0,0.2,871,379.5,69.19999993
541,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,63.396,8,0,0,4,7.5,6.4,0,6,0.004,0,0,0,0,4.5,0,0.15,982,276,69.60000006
542,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,63.546,8,0,0,4,7.5,5.75,0,5,0.004,0,1.5,0,0,4.5,0,0.15,1093,138,70.10000001
543,2,1307,0,4,1080,0,16,898,0,0.004,0,0,0,0,64.046,6,1.5,0,5,7.5,6.2,0,6.5,0.05,0,0,0,0,3,0.05,0.15,982,276,70.3
544,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,60.081,7,1.5,0,6,10,6.2,0,6.5,0.004,0,0,0,0,2.5,0.015,0.15,982,276,72.70000002
545,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,59.546,7,1.5,0,7,10,6.2,0,6.5,0.004,0,0,0,0,2,0.05,0.15,982,276,72.70000002
546,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,61.281,5,1.5,0,5.5,10,6.5,0,7,0.004,0,0,0,0,3,0.015,0.15,871,552,74.00000005
547,2,1307,0,4,1080,0,16,898,0,0.004,0,0,0,0,63.081,7,1.5,0,5,7.5,6.2,0,6.5,0.05,0,0,0,0,3,0.015,0.15,1148,90,74.30000004
548,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,63.796,8,1.5,0,3,7.5,6,0,6,0.004,0,1,0,0,3,0,0.15,871,552,75.70000009
549,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,60.581,7,1.5,0,5,10,6.2,0,6.5,0.004,0,0,0,0,3,0.015,0.15,982,276,76.19999994
550,2,1307,0,4,1080,0,16,898,0,0.004,0,0,0,0,65.281,5,1.5,0,3,7.5,6.5,0,7.5,0.05,0,0.5,0,0,3,0.015,0.15,871,552,76.49999997
551,3,1315,0,4,1065,0,20,871,0,0,0,0,0,0,70.4,10.3,0,0,7.5,0,5.6,0,6.2,0,0,0,0,0,0,0,0,982,207,76.79999999
552,2,1307,0,4,1080,0,16,898,0,0.004,0,0,0,0,63.081,7,1.5,0,5,7.5,6.2,0,6.5,0.05,0,0,0,0,3,0.015,0.15,982,276,80.40000005
553,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,62.781,6,1.5,0,5.5,10,7,0,4,0.004,0,0,0,0,3,0.015,0.15,982,276,80.70000005
554,3,1315,0,4,1065,0,20,871,0,0,0,0,0,0,70.4,10.3,0,0,7.5,0,5.6,0,6.2,0,0,0,0,0,0,0,0,982,207,81.50000005
555,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,63.546,8,0,0,4,7.5,5.75,0,5,0.004,0,1.5,0,0,4.5,0,0.15,1148,90,82.90000009
556,2,1307,0,4,1080,0,16,898,0,0.004,0,0,0,0,64.781,5,1.5,0,3,7.5,6.5,0,8,0.05,0,0.5,0,0,3,0.015,0.15,982,276,83.59999992
557,2,1307,0,4,1080,0,16,898,0,0.004,0,0,0,0,65.281,5,1.5,0,3,7.5,6.5,0,7,0.05,0,0.5,0,0,3.5,0.015,0.15,871,552,84.30000007
558,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,60.996,8,3,0,0,7.5,5.8,0,5,0.004,0,5,0,0,4.5,0,0.15,871,552,85.60000006
559,2,1307,0,4,1080,0,16,898,0,0.004,0,0,0,0,65.281,5,1.5,0,3,7.5,6.5,0,7,0.05,0,0.5,0,0,3.5,0.015,0.15,982,276,85.60000006
560,3,1315,0,4,1065,0,20,871,0,0,0,0,0,0,70.4,10.3,0,0,7.5,0,5.6,0,6.2,0,0,0,0,0,0,0,0,871,414,86.3999999
561,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,63.131,8,0,0,5.9,7.5,5.75,0,5,0.004,0,1.5,0,0,3,0.015,0.15,871,552,86.79999996
562,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,62.646,8,0.5,0,5.9,7.5,5.75,0,5,0.004,0,1.5,0,0,3,0,0.15,871,552,87.00000008
563,3,1276,0,4,1080,0,20,871,0,0,0,0,0,0,64.53,10.6,0.92,0,6.5,5,4.15,0,4.42,0,0,3.68,0,0,0,0,0.2,871,448.5,89.19999992
564,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,63.131,8,0,0,5.9,7.5,5.75,0,5,0.004,0,1.5,0,0,3,0.015,0.15,1093,138,89.99999991
565,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,60.981,7,1.5,0,7,10,5.8,0,5,0.004,0,1.5,0,0,1,0.015,0.15,871,552,90.1
566,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,63.496,8,1.5,0,4,7.5,5.8,0,5,0.004,0,1.5,0,0,3,0,0.15,1148,90,90.3999999
567,3,1315,0,4,1065,0,20,871,0,0,0,0,0,0,70.4,10.3,0,0,7.5,0,5.6,0,6.2,0,0,0,0,0,0,0,0,871,414,90.8000001
568,4,1204,0,4,1080,0,32,870,0,0.1,0,0,0,0,59.885,9,0,0,12,10,5,0,0,0.015,0,2,0,0,0,0,2,982,248.4,90.99999993
569,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,61.281,5,1.5,0,6.5,10,6.5,0,7,0.004,0,0,0,0,2,0.015,0.15,982,276,91.89999992
570,2,1265,0,4,1079,0,16,899,0,0.05,0,0,0,0,62.9524,9.6,1.5,0,6,7.4,4.2,0,4.7,0.0076,0,3.4,0,0,0,0,0.19,760,621,92.39999995
571,2,1265,0,4,1079,0,16,899,0,0.05,0,0,0,0,62.6957,9.7,1.5,0,6,7.5,4.2,0,4.7,0.0043,0,3.5,0,0,0,0,0.15,760,621,92.50000006
572,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,60.981,7,1.5,0,6,10,5.8,0,5,0.004,0,1.5,0,0,2,0.015,0.15,871,552,92.69999997
573,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,63.496,8,1.5,0,4,7.5,5.8,0,5,0.004,0,1.5,0,0,3,0,0.15,871,552,94.50000011
574,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,61.281,5,1.5,0,5.5,10,6.5,0,7,0.004,0,0,0,0,3,0.015,0.15,982,276,94.7
575,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,71.946,7,2.5,0,4,0,5.8,0,5,0.004,0,1.5,0,0,2,0.05,0.15,871,552,96.49999992
576,2,1307,0,4,1080,0,16,898,0,0.004,0,0,0,0,64.046,6,1.5,0,5,7.5,6.2,0,6.5,0.05,0,0,0,0,3,0.05,0.15,1148,90,96.89999999
577,2,1307,0,4,1080,0,16,898,0,0.05,0,0,0,0,61.281,5,1.5,0,6.5,10,6.5,0,7,0.004,0,0,0,0,2,0.015,0.15,871,552,97.10000002
578,2,1265,0,4,1079,0,16,899,0,0.05,0,0,0,0,62.9524,9.6,1.5,0,6,7.4,4.2,0,4.7,0.0076,0,3.4,0,0,0,0,0.19,982,179.4,98.09999991
579,2,1307,0,4,1080,0,16,898,0,0.004,0,0,0,0,63.081,7,1.5,0,5,7.5,6.2,0,6.5,0.05,0,0,0,0,3,0.015,0.15,1093,138,98.3999999
